goos: linux
goarch: amd64
cpu: AMD Ryzen 7 PRO 5850U with Radeon Graphics     
BenchmarkStringsRef-16         	    4609	    251061 ns/op	  160104 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    3993	    260891 ns/op	  160121 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4556	    250921 ns/op	  160106 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4513	    247668 ns/op	  160107 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4515	    252993 ns/op	  160107 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4387	    251932 ns/op	  160110 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4670	    265327 ns/op	  160103 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4137	    274973 ns/op	  160117 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4545	    255732 ns/op	  160106 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4341	    257900 ns/op	  160111 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4316	    249658 ns/op	  160112 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4512	    253638 ns/op	  160107 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4160	    252509 ns/op	  160116 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4558	    249575 ns/op	  160106 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4491	    253261 ns/op	  160107 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4464	    261982 ns/op	  160108 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4137	    257135 ns/op	  160116 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4626	    250586 ns/op	  160104 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4274	    250853 ns/op	  160113 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4677	    252903 ns/op	  160103 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4646	    241455 ns/op	  160104 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4690	    244845 ns/op	  160103 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4657	    243828 ns/op	  160103 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4582	    244667 ns/op	  160105 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4910	    244020 ns/op	  160098 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4644	    255001 ns/op	  160104 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4641	    243920 ns/op	  160104 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4725	    250574 ns/op	  160102 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4837	    246505 ns/op	  160100 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4690	    243233 ns/op	  160103 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4758	    259415 ns/op	  160101 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4632	    246087 ns/op	  160104 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4764	    242885 ns/op	  160101 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4543	    243850 ns/op	  160106 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    3975	    253052 ns/op	  160121 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4754	    244290 ns/op	  160101 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4690	    242056 ns/op	  160103 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4936	    242569 ns/op	  160098 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4376	    259596 ns/op	  160110 B/op	   10004 allocs/op
